tstart,tstart
tend,tend
dt,dt
timesteps,timesteps
dt_out,dt_out
dt_debug_out,dt_debug_out
ndt_update_wake,ndt_update_wake
GeometryFile,geometry_file
ReferenceFile,reference_file
basename,basename
basename_debug,basename_debug
output_start,output_start
output_detailed_geo,output_detailed_geo
restart_from_file,restart_from_file
restart_file,restart_file
reset_time,reset_time
u_inf,u_inf
u_ref,u_ref
P_inf,P_inf
rho_inf,rho_inf
a_inf,a_inf
mu_inf,mu_inf
n_wake_panels,n_wake_panels
particles_box_min,particles_box_min
particles_box_max,particles_box_max
ImplicitPanelScale,implicit_panel_scale
ImplicitPanelMinVel,implicit_panel_min_vel
rigid_wake,rigid_wake
rigid_wake_vel,rigid_wake_vel
join_te,join_te
join_te_factor,join_te_factor
FarFieldRatioDoublet,far_field_ratio_doublet
FarFieldRatioSource,far_field_ratio_source
DoubletThreshold,doublet_threshold
RankineRad,rankine_rad
VortexRad,vortex_rad
KVortexRad,k_vortex_rad
CutoffRad,cutoff_rad
LLsolver,ll_solver
LLReynoldsCorrections,ll_reynolds_corrections
LLReynoldsCorrectionsNfact,ll_reynolds_corrections_nfact
LLmaxIter,ll_max_iter
LLtol,ll_tol
LLdamp,ll_damp
LLstallRegularisation,ll_stall_regularisation
LLstallRegularisationNelems,ll_stall_regularisation_nelems
LLstallRegularisationNiters,ll_stall_regularisation_niters
LLstallRegularisationAlphaStall,ll_stall_regularisation_alpha_stall
LLartificialViscosity,ll_artificial_viscosity
LLartificialViscosityAdaptive,ll_artificial_viscosity_adaptive
LLartificialViscosityAdaptive_Alpha,ll_artificial_viscosity_adaptive_alpha
LLartificialViscosityAdaptive_dAlpha,ll_artificial_viscosity_adaptive_dalpha
LLloadsAVL,ll_loads_avl
VLrelax,vl_relax
VLmaxiter,vl_maxiter
VLtol,vl_tol
VLstartstep,vl_start_step
VLdynstall,vl_dynstall
FMM,fmm
FMMPanels,fmm_panels
BoxLength,box_length
NBox,n_box
OctreeOrigin,octree_origin
NOctreeLevels,n_octree_levels
MinOctreePart,min_octree_part
MultipoleDegree,multipole_degree
DynLayers,dyn_layers
NMaxOctreeLevels,nmax_octree_levels
LeavesTimeRatio,leaves_time_ratio
Vortstretch,vortstretch
VortstretchFromElems,vortstretch_from_elems
DivergenceFiltering,divergence_filtering
FilterTimescale,filter_time_scale
Diffusion,diffusion
TurbulentViscosity,turbulent_viscosity
PenetrationAvoidance,penetration_avoidance
PenetrationAvoidanceCheckRadius,penetration_avoidance_check_radius
PenetrationAvoidanceElementRadius,penetration_avoidance_element_radius
ViscosityEffects,viscosity_effects
ParticlesRedistribution,particles_redistribution
OctreeLevelSolid,octree_level_solid
ParticlesRedistributionRatio,particles_redistribution_ratio
HCAS,HCAS
HCAS_time,HCAS_time
HCAS_velocity,HCAS_velocity
Gust,gust
GustType,gust_type
GustOrigin,gust_origin
GustFrontDirection,gust_front_direction
GustFrontSpeed,gust_front_speed
GustUDes,gust_u_des
GustPerturbationDirection,gust_perturbation_direction
GustGradient,gust_gradient
GustStartTime,gust_start_time
Reference_Tag,reference_tag
Parent_Tag,parent_tag
Origin,origin
Orientation,orientation
Moving,moving
Multiple,multiple
Motion,motion
Pole,pole
Input,input
Input_Type,input_type
InputType,input_type
Function,function
File,file
Amplitude,amplitude
Vector,vector
Omega,omega
Phase,phase
Offset,offset
Position_0,position_0
Rotation,rotation
Psi_0,psi_0
Multiplicity,multiplicity
MultType,mult_type
N_Frames,n_frames
N_Blades,n_blades
Rot_Axis,rot_axis
Hub_Offset,hub_offset
Rot_Rate,rot_rate
Transient,transient
Transient_Fun,transient_fun
Transient_Time,transient_time
Init_Rot_Rate,init_rot_rate
N_Dofs,n_dofs
Dof,dof
Hinge_Type,hinge_type
Hinge_Offset,hinge_offset
Cyclic_Ampl,cyclic_ampl
Cyclic_Phas,cyclic_phas
CompName,comp_name
GeoFile,geo_file
RefTag,ref_tag
TolSewing,tol_se_wing
InnerProductTe,inner_product_te
FileName,file_name
data_basename,data_basename
Analysis,analysis
Type,type
Name,name
StartRes,start_res
EndRes,end_res
StepRes,step_res
Average,average
Wake,wake
SeparateWake,separate_wake
Format,format
Component,component
HingeTag,hinge_tag
Variable,variable
Point,point
Nxyz,n_xyz
Minxyz,min_xyz
Maxxyz,max_xyz
AxisDir,axis_dir
AxisNod,axis_nod
LiftingLineData,lifting_line_data
VortexLatticeData,vortex_lattice_data
BoxSect,box_sect
refNode,ref_node
faceVec,face_vec
faceBas,face_bas
faceHei,face_hei
spanVec,span_vec
numSect,num_sect
spanLen,span_len
reshapeBox,reshape_box
AxisMom,axis_mom
MeshFile,mesh_file
MeshFileType,mesh_file_type
ElType,el_type
Coupled,coupled
CouplingType,coupling_type
CouplingNode,coupling_node
CouplingNodeFile,coupling_node_file
CouplingNodeOrientation,coupling_node_orientation
mesh_symmetry,mesh_symmetry
symmetry_point,symmetry_point
symmetry_normal,symmetry_normal
mesh_mirror,mesh_mirror
mirror_point,mirror_point
mirror_normal,mirror_normal
traction,traction
Radius,radius
ProjTe,proj_te
ProjTeDir,proj_te_dir
ProjTeVector,proj_te_vector
SuppressTe,suppress_te
ScaleTe,scale_te
SectionName,section_name
ScalingFactor,scaling_factor
Rev_Length,rev_length
Rev_Radius,rev_radius
Rev_Nose_Radius,rev_nose_radius
Rev_Nelem_Long,rev_nelem_long
Rev_Nelem_Rev,rev_nelem_rev
n_hinges,n_hinges
Hinge,hinge
Hinge_Tag,hinge_tag
Hinge_Nodes_Input,hinge_nodes_input
N_Nodes,n_nodes
Node1,node_1
Node2,node_2
Hinge_Ref_Dir,hinge_ref_dir
Hinge_Spanwise_Blending,hinge_spanwise_blending
Hinge_Merge_Tol,hinge_merge_tol
Hinge_Rotation_Input,hinge_rotation_input
Hinge_Rotation_Function,hinge_rotation_function
Hinge_Rotation_File,hinge_rotation_file
Filename,filename
Hinge_Rotation_Coupling,hinge_rotation_coupling
Coupling_Node_Subset,coupling_node_subset
Coupling_Node_First,coupling_node_first
Coupling_Node_Last,coupling_node_last
Coupling_Node_Filename,coupling_node_filename
nelem_chord,nelem_chord
type_chord,type_chord
starting_point,starting_point
reference_chord_fraction,reference_chord_fraction
twist_linear_interpolation,twist_linear_interpolation
chord,chord
twist,twist
airfoil,airfoil
airfoil_table,airfoil_table
span,span
sweep,sweep
dihed,dihed
nelem_span,nelem_span
type_span,type_span
AirfoilTableCorrection,airfoil_table_correction
SectionNormal,section_normal
FlipSection,flip_section
EndPoints,end_points
SectionNormalVector,section_normal_vector
TangentVec1,tangent_vec_1
TangentVec2,tangent_vec_2
